from_user|to_user|text
bosco3509|Hegemommy|RT @Hegemommy: We call them terrorists just FYI https://t.co/BedNTTRKE4
bosco3509|N/A|RT @Hegemommy: We call them terrorists just FYI https://t.co/BedNTTRKE4
DaveronNicola|prolifecampaign|RT @prolifecampaign: At a very conservative estimate there are tens of thousands of Irish people alive today precisely because of the prote…
DaveronNicola|N/A|RT @prolifecampaign: At a very conservative estimate there are tens of thousands of Irish people alive today precisely because of the prote…
kaehvogel|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
kaehvogel|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
Declan1497|Declan1497|RT @Declan1497: Fianna Fail Insults it's own delegates as uneducated  As they reject repeal of the 8th amendmenthttps://t.co/Pu2yfSzM…
Declan1497|N/A|RT @Declan1497: Fianna Fail Insults it's own delegates as uneducated  As they reject repeal of the 8th amendmenthttps://t.co/Pu2yfSzM…
local_sofa|N/A|Post birth abortion
gun4christians|GeorgiaDirtRoad|RT @GeorgiaDirtRoad: Listen as this Abortion doctor describes what happens during 2nd term abortions. His speech may be the most powerful y…
gun4christians|N/A|RT @GeorgiaDirtRoad: Listen as this Abortion doctor describes what happens during 2nd term abortions. His speech may be the most powerful y…
LiberalsRight|N/A|When you realize that Catholics are fucking stupid for wanting to stop abortion. https://t.co/6Qp9dH5SJQ
ChrystiTaylor|WeakMighty|"RT @WeakMighty: @texankulfi @Liquatic @ChrystiTaylor Feminist: ""I demand the right to have an abortion!""Society: ""Okay"" you have it.Fem…"
ChrystiTaylor|texankulfi|"RT @WeakMighty: @texankulfi @Liquatic @ChrystiTaylor Feminist: ""I demand the right to have an abortion!""Society: ""Okay"" you have it.Fem…"
ChrystiTaylor|Liquatic|"RT @WeakMighty: @texankulfi @Liquatic @ChrystiTaylor Feminist: ""I demand the right to have an abortion!""Society: ""Okay"" you have it.Fem…"
ChrystiTaylor|ChrystiTaylor|"RT @WeakMighty: @texankulfi @Liquatic @ChrystiTaylor Feminist: ""I demand the right to have an abortion!""Society: ""Okay"" you have it.Fem…"
ChrystiTaylor|N/A|"RT @WeakMighty: @texankulfi @Liquatic @ChrystiTaylor Feminist: ""I demand the right to have an abortion!""Society: ""Okay"" you have it.Fem…"
angelt18|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
angelt18|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
haley_marie10|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
haley_marie10|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
cnalive|N/A|“U.S. tax dollars have no business going to organizations that are unwilling to pursue health outcomes for every pe… https://t.co/Kfi064hEyW
EcksLibris|Hegemommy|RT @Hegemommy: We call them terrorists just FYI https://t.co/BedNTTRKE4
EcksLibris|N/A|RT @Hegemommy: We call them terrorists just FYI https://t.co/BedNTTRKE4
hester_hen|ReproRights|RT @ReproRights: One doctor in Chicago is working to fill in the gaps of medical training to provide abortion care for patients. https://t.…
hester_hen|N/A|RT @ReproRights: One doctor in Chicago is working to fill in the gaps of medical training to provide abortion care for patients. https://t.…
WolfeTone15|markantro|RT @markantro: It’s curious that most people who are pro abortion are anti death penalty.Or, to put it differently;Most pro abortion pe…
WolfeTone15|N/A|RT @markantro: It’s curious that most people who are pro abortion are anti death penalty.Or, to put it differently;Most pro abortion pe…
homegypsy|Kragar_LGF|"RT @Kragar_LGF: ""anti-abortion activist""Nope, the word you're looking for is TERRORIST https://t.co/ApaDiJDRFQ"
homegypsy|N/A|"RT @Kragar_LGF: ""anti-abortion activist""Nope, the word you're looking for is TERRORIST https://t.co/ApaDiJDRFQ"
OkItsVero|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
OkItsVero|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
homegypsy|ABC7Chicago|RT @ABC7Chicago: Feds: anti-abortion activist linked to Christian terror group planned clinic attacks: https://t.co/KCTHjfgriV https://t.co…
homegypsy|N/A|RT @ABC7Chicago: Feds: anti-abortion activist linked to Christian terror group planned clinic attacks: https://t.co/KCTHjfgriV https://t.co…
AgatkaUSA|Megan4MAGA|RT @Megan4MAGA: Canada is trying to FORCE abortion &amp; transgerdism on Catholics yet they're not going down easy.. how about stop forcing cra…
AgatkaUSA|N/A|RT @Megan4MAGA: Canada is trying to FORCE abortion &amp; transgerdism on Catholics yet they're not going down easy.. how about stop forcing cra…
NathanCarreon10|cnalive|RT @cnalive: “U.S. tax dollars have no business going to organizations that are unwilling to pursue health outcomes for every person and in…
NathanCarreon10|N/A|RT @cnalive: “U.S. tax dollars have no business going to organizations that are unwilling to pursue health outcomes for every person and in…
ljl_geek|AbortionCare|RT @AbortionCare: Anti-abortion politicians across the country are trying to force abortion care providers to share stigmatizing, medically…
ljl_geek|N/A|RT @AbortionCare: Anti-abortion politicians across the country are trying to force abortion care providers to share stigmatizing, medically…
5_2blue|LiberalVenom|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
5_2blue|realDonaldTrump|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
5_2blue|GOP|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
5_2blue|N/A|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
American__Voter|N/A|I'm a 29 yr old, college-educated white woman.I'm a conservative Republican who supports the ACA, supports mandat… https://t.co/9FQtIKMWmL
VicksVapor_Rub|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
VicksVapor_Rub|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
JohnMGoodmanII6|N/A|https://t.co/SXQuXHcKLo
edbenson98|RealJamesWoods|@RealJamesWoods Liberals like to kill unborn babies with abortion but want to save the lives of Manson and thugs li… https://t.co/gm3YEJG3eC
edbenson98|RealJamesWoods|@RealJamesWoods Liberals like to kill unborn babies with abortion but want to save the lives of Manson and thugs li… https://t.co/gm3YEJG3eC
WHAMCULT|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
WHAMCULT|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
RyanLooney8|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
RyanLooney8|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
hester_hen|NARAL|RT @NARAL: Access to affordable birth control and abortion is critical to economic security. https://t.co/h9YPCk8Hw3  @Rewire_News #NotWith…
hester_hen|Rewire_News|RT @NARAL: Access to affordable birth control and abortion is critical to economic security. https://t.co/h9YPCk8Hw3  @Rewire_News #NotWith…
hester_hen|N/A|RT @NARAL: Access to affordable birth control and abortion is critical to economic security. https://t.co/h9YPCk8Hw3  @Rewire_News #NotWith…
MaryBur15709213|BrewtonDoug|"RT @BrewtonDoug: VIDEO: Stephen Baldwin, ""You Can't Be Pro-Choice And Christian"" https://t.co/qGU1y90Iar via @hellochristians"
MaryBur15709213|HelloChristians|"RT @BrewtonDoug: VIDEO: Stephen Baldwin, ""You Can't Be Pro-Choice And Christian"" https://t.co/qGU1y90Iar via @hellochristians"
MaryBur15709213|N/A|"RT @BrewtonDoug: VIDEO: Stephen Baldwin, ""You Can't Be Pro-Choice And Christian"" https://t.co/qGU1y90Iar via @hellochristians"
MaClSch|LifeSite|RT @LifeSite: India has killed 63 million of its daughters through sex-selection abortion https://t.co/l9tkG4AqIl
MaClSch|N/A|RT @LifeSite: India has killed 63 million of its daughters through sex-selection abortion https://t.co/l9tkG4AqIl
geeholla|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
geeholla|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
BrooksDslbrooks|LiberalVenom|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
BrooksDslbrooks|realDonaldTrump|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
BrooksDslbrooks|GOP|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
BrooksDslbrooks|N/A|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
vetsforbacon|N/A|It’s a fair question https://t.co/XML4flHjz1
n_m_king|N/A|Why should we make room for people who think that our queer identities are brokenness rather than the beautiful gif… https://t.co/DM4MaSknkr
Melissa53847067|N/A|Hallelujah 🙏🏻 https://t.co/t2h0jiC963
LiveActionNews|N/A|Actor Stephen Baldwin: You can't be Christian and support abortion.  https://t.co/eTnOkVqPo6
BrausenMHR|cnalive|RT @cnalive: “U.S. tax dollars have no business going to organizations that are unwilling to pursue health outcomes for every person and in…
BrausenMHR|N/A|RT @cnalive: “U.S. tax dollars have no business going to organizations that are unwilling to pursue health outcomes for every person and in…
KempLeweshc|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
KempLeweshc|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
MorgynCramer|JordanUhl|RT @JordanUhl: *Terrorist https://t.co/XYBni4jLoK
MorgynCramer|N/A|RT @JordanUhl: *Terrorist https://t.co/XYBni4jLoK
Kaela_Bear|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
Kaela_Bear|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
Been4Gotten|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
Been4Gotten|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
MichaelEDH|DougSides|RT @DougSides: 📖A Sanctity Of Human Life Sermon ❓Did you know that since abortion was made legal by the Supreme Court that we have killed…
MichaelEDH|N/A|RT @DougSides: 📖A Sanctity Of Human Life Sermon ❓Did you know that since abortion was made legal by the Supreme Court that we have killed…
littletxlady|MotherJones|RT @MotherJones: Inside the top-secret abortion underground https://t.co/psXANGTSc3 https://t.co/GhnJ2FFl94
littletxlady|N/A|RT @MotherJones: Inside the top-secret abortion underground https://t.co/psXANGTSc3 https://t.co/GhnJ2FFl94
emmaramos99|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
emmaramos99|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
Ronaldayoung|KassyDillon|RT @KassyDillon: This is extremely racist. https://t.co/AkBuGvxy0J
Ronaldayoung|N/A|RT @KassyDillon: This is extremely racist. https://t.co/AkBuGvxy0J
Spark14_|BIGBRUTHABUBBA|"@BIGBRUTHABUBBA If I get really angry I end up yelling ""an abortion would've stopped Hitler"" and no one ever says a… https://t.co/B3sY15v0dm"
Spark14_|BIGBRUTHABUBBA|"@BIGBRUTHABUBBA If I get really angry I end up yelling ""an abortion would've stopped Hitler"" and no one ever says a… https://t.co/B3sY15v0dm"
HayPed|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
HayPed|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
WolfeTone15|POLITICSandFUN|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
WolfeTone15|N/A|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
Wheelie_Healthy|pwd4repeal|RT @pwd4repeal: Hey Everyone! We are gearing up for our next twitter chat! There are lots of issues that need to be teased out that we wa…
Wheelie_Healthy|N/A|RT @pwd4repeal: Hey Everyone! We are gearing up for our next twitter chat! There are lots of issues that need to be teased out that we wa…
jfb_smoggy|niall_gooch|"RT @niall_gooch: And rejects an attempt to reiterate that abortion for disability is wrong, thus rendering the ""call"" just so much pious ve…"
jfb_smoggy|N/A|"RT @niall_gooch: And rejects an attempt to reiterate that abortion for disability is wrong, thus rendering the ""call"" just so much pious ve…"
serenityxsiren|JordanUhl|RT @JordanUhl: *Terrorist https://t.co/XYBni4jLoK
serenityxsiren|N/A|RT @JordanUhl: *Terrorist https://t.co/XYBni4jLoK
ShawtyDeee|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
ShawtyDeee|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
FoPRR|LiberalVenom|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
FoPRR|realDonaldTrump|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
FoPRR|GOP|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
FoPRR|N/A|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
CharlesKeech|N/A|God's Word on Abortion, from His book,see Innocent Blood athttps://t.co/3f4xXzOQRR print, post, pass it on
Dienekes_Sparta|LiveActionNews|RT @LiveActionNews: Actor Stephen Baldwin: You can't be Christian and support abortion.  https://t.co/eTnOkVqPo6
Dienekes_Sparta|N/A|RT @LiveActionNews: Actor Stephen Baldwin: You can't be Christian and support abortion.  https://t.co/eTnOkVqPo6
staceydeperalta|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
staceydeperalta|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
WolfeTone15|Jaye_inUSA|RT @Jaye_inUSA: Our legislators are getting very wealthy on the DEATHS of our MOST precious,                    MOST innocent,…
WolfeTone15|N/A|RT @Jaye_inUSA: Our legislators are getting very wealthy on the DEATHS of our MOST precious,                    MOST innocent,…
Berlinnaeus|ElaineYoung94|RT @ElaineYoung94: I am ProChoice, I shall tweet ProChoice messages . Nothing will convince me that the state should tell a woman what she…
Berlinnaeus|N/A|RT @ElaineYoung94: I am ProChoice, I shall tweet ProChoice messages . Nothing will convince me that the state should tell a woman what she…
jessica_lately|kilbaed1|@kilbaed1 @clevelanddotcom Agree completely different from abortion 🙄
jessica_lately|kilbaed1|@kilbaed1 @clevelanddotcom Agree completely different from abortion 🙄
jessica_lately|clevelanddotcom|@kilbaed1 @clevelanddotcom Agree completely different from abortion 🙄
Beatlebaby64|cnalive|RT @cnalive: “U.S. tax dollars have no business going to organizations that are unwilling to pursue health outcomes for every person and in…
Beatlebaby64|N/A|RT @cnalive: “U.S. tax dollars have no business going to organizations that are unwilling to pursue health outcomes for every person and in…
DaltonOdom1|DevinSenaUI|RT @DevinSenaUI: Life offers no guarantees.Abortion offers no chances.#SaturdayMorning
DaltonOdom1|N/A|RT @DevinSenaUI: Life offers no guarantees.Abortion offers no chances.#SaturdayMorning
linluv5|Hegemommy|RT @Hegemommy: We call them terrorists just FYI https://t.co/BedNTTRKE4
linluv5|N/A|RT @Hegemommy: We call them terrorists just FYI https://t.co/BedNTTRKE4
averyscottbiebs|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
averyscottbiebs|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
DavidThom2017|DavidThom2017|RT @DavidThom2017: @Franklin_Graham We don't have an abortion problem, we have a heart problem. Bible says in the book of Acts . And they h…
DavidThom2017|Franklin_Graham|RT @DavidThom2017: @Franklin_Graham We don't have an abortion problem, we have a heart problem. Bible says in the book of Acts . And they h…
DavidThom2017|N/A|RT @DavidThom2017: @Franklin_Graham We don't have an abortion problem, we have a heart problem. Bible says in the book of Acts . And they h…
Kels_Silva|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
Kels_Silva|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
sheila06942158|msuhagoblue|RT @msuhagoblue: #qanon U know U have a problem with your message when you demand increases in funding for Child Health Care &amp; Abortion at…
sheila06942158|N/A|RT @msuhagoblue: #qanon U know U have a problem with your message when you demand increases in funding for Child Health Care &amp; Abortion at…
BruRyder|ElaineYoung94|RT @ElaineYoung94: I am ProChoice, I shall tweet ProChoice messages . Nothing will convince me that the state should tell a woman what she…
BruRyder|N/A|RT @ElaineYoung94: I am ProChoice, I shall tweet ProChoice messages . Nothing will convince me that the state should tell a woman what she…
lukestefanowicz|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
lukestefanowicz|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
joelscribes|Hegemommy|RT @Hegemommy: We call them terrorists just FYI https://t.co/BedNTTRKE4
joelscribes|N/A|RT @Hegemommy: We call them terrorists just FYI https://t.co/BedNTTRKE4
dfrancishirst|dfrancishirst|RT @dfrancishirst: “This is something I care deeply about”. Probably as much as the abortion law reform that was promised (to great applaus…
dfrancishirst|N/A|RT @dfrancishirst: “This is something I care deeply about”. Probably as much as the abortion law reform that was promised (to great applaus…
dlhnola30|VABVOX|RT @VABVOX: Terrorist.You meant to say #terrorist.When you plan to kill people for your political agenda, that's terrorism.Look it up. h…
dlhnola30|N/A|RT @VABVOX: Terrorist.You meant to say #terrorist.When you plan to kill people for your political agenda, that's terrorism.Look it up. h…
1RonnieD|N/A|This will turn your stomach https://t.co/mOkrRHxEXz
wiwa1953|LiberalVenom|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
wiwa1953|realDonaldTrump|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
wiwa1953|GOP|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
wiwa1953|N/A|RT @LiberalVenom: the @realDonaldTrump and @GOP vision for womenno birth control no abortionno equal payno welfareno family leaveno…
gotothelimit|DonnaMahoney14|RT @DonnaMahoney14: @gotothelimit @Italian_Man5 @amishluver @Campy_the_Rat @Carolde @AdamSchiffCA @realDonaldTrump @chuckschumer @PabloLesl…
gotothelimit|gotothelimit|RT @DonnaMahoney14: @gotothelimit @Italian_Man5 @amishluver @Campy_the_Rat @Carolde @AdamSchiffCA @realDonaldTrump @chuckschumer @PabloLesl…
gotothelimit|Italian_Man5|RT @DonnaMahoney14: @gotothelimit @Italian_Man5 @amishluver @Campy_the_Rat @Carolde @AdamSchiffCA @realDonaldTrump @chuckschumer @PabloLesl…
gotothelimit|amishluver|RT @DonnaMahoney14: @gotothelimit @Italian_Man5 @amishluver @Campy_the_Rat @Carolde @AdamSchiffCA @realDonaldTrump @chuckschumer @PabloLesl…
gotothelimit|Campy_the_Rat|RT @DonnaMahoney14: @gotothelimit @Italian_Man5 @amishluver @Campy_the_Rat @Carolde @AdamSchiffCA @realDonaldTrump @chuckschumer @PabloLesl…
